project,testClassName,testMethodName,testLength,numAsserts,numCoveredLines
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_custom_constructor,18,1,22
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_creating_native_codec_for_computed_if_target_type_not_matched,16,0,11
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_implicit_field_parsing,18,1,16
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_column_not_correct_type,13,0,13
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_Not_String,24,0,19
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_validating_nested_types,9,0,12
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_list_optional_string,27,2,13
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_string,17,3,13
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_without_base_entity,13,0,32
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_primitive_byte_array,17,3,14
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_computed_column,13,0,26
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_NoOpAnalyzer,24,0,19
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_functions_with_complex_types_javac,138,76,11
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_counter_in_udt,23,0,15
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_list_udtValue,18,0,5
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_object_byte,17,3,13
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_wrongascii,22,0,15
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_udt_index_info,17,1,7
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_missing_base_pk,13,0,13
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_validate_entity_with_EntityCreator_constructor,11,2,0
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_timeuuid,22,2,15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_SPARSE,24,0,18
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_partition_key_in_udt,23,0,15
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtValueKey,18,0,4
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_type,18,2,10
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_immutable_constructor_param_javac,15,0,21
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_forbidden_keyspace_name,8,0,7
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_objectBoolean,18,1,7
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_types,14,1,14
Achilles,info.archinnov.achilles.internals.codegen.index.IndexSelectDSLCodeGenTest,should_generate_indexed_select_dsl_class_with_udt,34,2,12
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_udtValue,17,0,4
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NotString,24,0,18
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_optional_string,27,2,11
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_primitiveByte,4,0,3
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_json,17,3,30
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_json_type,18,2,10
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_computed_annotation_javac,32,6,3
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_transformed_type,18,2,9
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_not_indexed_column_index_info,16,1,4
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NotAnalyzed,24,0,18
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_map,25,1,7
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidType,8,2,6
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_declared_constructor_param_javac,15,0,20
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_map_value_index_info,18,1,8
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_listKey,18,0,4
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_frozen_list_index_info,18,1,12
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_constructor_param_javac,15,0,20
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_entity_annotation,14,0,22
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_function,34,13,7
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_clustering_column_info,16,1,5
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_validate_immutable_entity,11,2,1
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_static_without_clustering,13,0,29
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_udtValue,14,0,4
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_blank_keyspace,8,0,9
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_compilation_when_no_setter,15,0,7
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_setByte,5,0,4
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_compilation_when_no_getter,15,0,7
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_void_return_type,8,0,6
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_computed_column_type,15,1,11
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_missing_base_collection,13,0,13
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_column_with_no_setter,21,1,6
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tupleValue,5,0,4
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtValue,18,0,5
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_But_NotAnalyzed,24,0,20
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_partition_column_info,16,1,8
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_partition_and_computed_column,16,0,10
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_mapByteArray,5,0,4
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_static_counter_column_type,16,1,11
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_partition_and_static_column,16,0,10
Achilles,info.archinnov.achilles.internals.codegen.meta.UDTMetaCodeGenTest,should_generate_udt_with_custom_constructor_property_class,28,1,8
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_Not_String,24,0,20
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_counter_column_type,16,1,11
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_nested_udt,19,3,9
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_NoAnalyzer,24,0,19
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_SPARSE,24,0,32
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_of_double_array,18,2,10
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_function_with_keyspace,27,9,7
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_udt,18,2,10
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_public_final_columns,21,1,9
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_blank_name,10,1,4
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_computed,20,3,9
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_list_tupleValue,14,0,5
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_2_as_map_key,14,0,6
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_frozen_column_info,16,1,5
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_udt,18,0,4
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_no_partition_key,13,0,24
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_lower_case,10,1,3
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidUpperBound,10,2,8
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_json_map,18,2,10
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_optional_protocol_version_from_inline_codec,27,2,11
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_OpsCenter_keyspace_name,8,0,7
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_list_nested_index_info,17,1,7
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_no_matching_field_name_for_immutable_constructor_param_javac,15,0,21
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_list_list,18,0,5
Achilles,info.archinnov.achilles.internals.strategy.naming.SnakeCaseNamingTest,should_return_blank_name,10,1,3
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_native_codec_for_computed,19,3,10
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_transformed_int,18,3,9
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_object_byte_array,18,2,15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_clustering_column_in_udt,23,0,15
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_listString,5,0,4
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_clustering_column_annotation_java,30,4,3
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_no_matching_field_name_for_constructor_param_javac,15,0,20
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_codec_from_registry,26,2,11
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_custom_codec_for_counter,18,3,9
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleValueKey,14,0,5
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_codec_annotation_javac,30,5,4
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_creating_codec_for_computed_if_target_type_not_matched,16,0,9
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_on_set,24,0,20
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_fail_validating_class_with_two_custom_constructors,8,0,1
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_blank_name_on_null,10,1,4
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_create_custom_codec_for_counter_if_target_type_not_matched,14,0,9
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_for_other_fields_javac,53,10,3
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_local_time,19,2,15
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_primitive_return_type,8,0,6
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_codec_from_registry,16,0,7
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_static_column_in_udt,23,0,15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_non_frozen_udt,21,2,9
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_creating_JavaType_for_wildcard_type,8,0,0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_annotation_tree_for_map_javac,76,17,3
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_first_present_value,12,1,3
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_computed_field,19,2,14
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_column,14,1,19
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_map_entry_index_info,18,1,8
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_static_column_info,16,1,6
Achilles,info.archinnov.achilles.internals.codegen.ManagerCodeGenTest,should_generate_manager_class_for_index_dsl,34,2,24
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_set_udt,18,2,9
Achilles,info.archinnov.achilles.internals.strategy.naming.SnakeCaseNamingTest,should_return_snake_case,10,1,4
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_wrongtimeuuid,23,0,15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_non_frozen_collection_in_udt,23,0,15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_nested_tuple,18,2,17
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_duplicated_cql_name,13,0,19
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_object_byte_array,17,3,14
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_default_value,12,1,3
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_more_than_1_non_pk,13,0,13
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_first_value,12,1,4
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NonTokeninzingAnalyzer,24,0,20
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_set_type,18,2,12
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_annotations,14,1,18
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_JavaType_for_parameterized_type,15,1,1
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_validate_view_against_base_table,13,0,13
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_primitive_byte_array,18,2,15
Achilles,info.archinnov.achilles.internals.strategy.naming.CaseSensitiveNamingTest,should_return_blank_name,10,1,3
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_complex_types_javac,21,1,16
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_map_with_nested_json_javac,40,7,4
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_json_map,17,3,11
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_object_boolean,18,2,15
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_primitive_byte,17,3,13
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_consistencyLevel,18,1,7
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleKey,14,0,5
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_normal_column_info,16,1,6
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_unsupported_return_type,8,0,7
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_instant,19,2,15
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_enumerated,18,3,11
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_fail_validating_an_interface,8,0,1
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_duplicate_function_declaration,12,0,8
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_udt,14,0,4
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_ascii,21,2,15
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tupleValue,14,0,4
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple3,5,0,4
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple2,5,0,4
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple1,5,0,4
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_composite_partition_key,14,1,19
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_list_nesting,18,2,17
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_counter_column,14,1,19
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_set_nesting,18,2,17
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_child_class_with_shadowed_field,13,0,19
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_not_indexed_map_index_info,17,1,4
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_clustering_and_computed_column,16,0,9
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_unsupported_param_type,8,0,7
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_JavaType_for_simple_type,9,1,1
Achilles,info.archinnov.achilles.internals.strategy.naming.CaseSensitiveNamingTest,should_return_blank_name_on_null,10,1,3
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_codec_overriding_registry,28,2,11
