project,testClassName,testMethodName,ExecutionTime
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_functions_with_complex_types_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_functions_with_complex_return_types_javac,0.534
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_void_return_type,0.19
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_unsupported_return_type,0.09
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_OpsCenter_keyspace_name,0.191
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_function_with_keyspace,0.092
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_duplicate_function_declaration,0.06
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_unsupported_param_type,0.05
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_functions_with_complex_return_types_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_primitive_return_type,0.039
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_forbidden_keyspace_name,0.041
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_functions_with_complex_types_javac,0.134
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_function,0.085
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_setByte,0.911
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_mapByteArray,0.012
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_primitiveByte,0.006
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidTypeNestedType,0.18
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidLowerBound,0.018
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tupleValue,0.001
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_primitiveByteArray,0.001
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple1,0.005
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple2,0.007
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple3,0.003
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_objectByteArray,0.002
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_listString,0.002
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidUpperBound,0.003
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidWildCard,0.002
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidType,0.002
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_objectByte,0.002
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_blank_name,0.225
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_blank_name_on_null,0.001
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_lower_case,0.006
Achilles,info.archinnov.achilles.internals.utils.TypeNameHelperTest,should_convert_type_name_to_string,0.707
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_json_map_javac,2.856
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_frozen_udt_annotation_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_codec_annotation_javac,0.462
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_map_for_level1_nesting_javac,0.24
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_for_other_fields_javac_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_annotation_tree_for_map_javac,0.317
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_clustering_column_annotation_java,0.35
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_map_for_level1_nesting_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_clustering_column_annotation_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_map_with_nested_json_javac,0.16
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_for_other_fields_javac,0.206
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_json_map_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_computed_annotation_javac,0.126
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_map_with_nested_json_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_codec_annotation_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_annotation_tree_for_map_ecj,0.0
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_computed_annotation_ecj,0.0
Achilles,info.archinnov.achilles.internals.codegen.ManagerCodeGenTest,should_generate_manager_class_for_index_dsl,2.804
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtValueKey,2.525
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_udtValue,0.319
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_1,0.234
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_2,0.231
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_list,0.119
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_listKey,0.206
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleValue,0.163
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_list_udtValue,0.064
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_map,0.095
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_udt,0.103
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tupleValue,0.095
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_list,0.091
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleValueKey,0.102
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtValue,0.118
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_udt,0.075
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_list_udt,0.056
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_tupleValue,0.132
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_list_tupleValue,0.099
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_list_tuple,0.064
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_list_list,0.064
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udt,0.107
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtKey,0.049
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleKey,0.066
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_2_as_map_key,0.213
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_validating_index_depth_gt_2,0.092
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_udtValue,0.06
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tuple,0.044
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_computed_column,3.018
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_counter_column,0.263
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_counter_column,0.22
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_custom_constructor,0.228
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_implicit_field_parsing,0.207
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_entity_annotation,0.093
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_static_without_clustering,0.082
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_child_class_with_shadowed_field,0.064
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_counter_column,0.113
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_composite_partition_key,0.123
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_abstract_class,0.081
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_duplicated_cql_name,0.064
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_counter_types,0.138
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_indices,0.17
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_composite_partition_key_order,0.208
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_types,0.595
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_inherited_entity,0.165
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_static_column,0.161
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_view_meta,0.145
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_clustering_column,0.103
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_computed_column,0.05
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_column,0.073
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_simple_partition_key,0.055
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_without_view_annotation,0.046
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_annotations,0.093
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_clustering_column_order,0.06
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_no_public_constructor,0.044
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_custom_constructor_with_declared_fields,0.061
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_no_partition_key,0.037
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_first_present_value,0.339
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_default_value,0.002
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_first_value,0.001
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_without_base_entity,3.1
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_missing_base_collection,0.33
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_column_not_correct_type,0.256
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_column_not_in_base,0.282
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_validate_view_against_base_table,0.285
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_missing_base_pk,0.163
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_more_than_1_non_pk,0.133
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_SPARSE,2.789
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_codec_from_registry,0.186
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple1,1.046
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple2,0.631
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple3,0.435
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple4,0.341
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple5,0.265
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple6,0.185
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple7,0.227
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple8,0.239
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple9,0.262
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_wrongtimeuuid,0.141
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_optional_string,0.162
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple_nesting,0.096
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_computed_field_with_codec,0.091
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_set_udt,0.164
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_complex_nested_map,0.132
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_primitive_boolean,0.084
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_object_byte_array,0.099
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_static_column_in_udt,0.054
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_But_NotAnalyzed,0.05
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_timeuuid,0.103
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_json_map,0.107
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_type,0.214
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_list_nesting,0.196
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_non_frozen_nested_udt,0.082
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_list_optional_string,0.089
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NonTokeninzingAnalyzer,0.043
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_nested_tuple,0.09
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_codec_from_registry,0.098
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_json_type,0.087
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_optional_protocol_version_from_codec_registry,0.188
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_NotAnalyzed,0.048
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_NoAnalyzer,0.034
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple10,0.078
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_codec_from_registry,0.07
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_local_date,0.075
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_local_time,0.06
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_optional_protocol_version_from_inline_codec,0.087
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_zoned_date_time,0.077
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_non_frozen_collection_in_udt,0.073
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_SPARSE,0.117
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_set_nesting,0.104
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_of_double_array,0.065
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_with_nested_json,0.062
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_on_list,0.039
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_not_string,0.043
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NotAnalyzed,0.034
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_set_type,0.147
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_ascii,0.131
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_counter_in_udt,0.068
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_computed_field,0.066
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_non_frozen_udt,0.061
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_Not_String,0.038
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_But_SPARSE,0.031
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_object_boolean,0.049
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_string_type,0.054
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_runtime_codec,0.053
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_wrongascii,0.038
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_transformed_type,0.105
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_simple_codec_from_registry,0.143
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_codec_overriding_registry,0.083
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_nested_int_array,0.051
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_udt,0.057
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_nested_udt,0.095
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_clustering_column_in_udt,0.036
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_SPARSE_But_String,0.026
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_field_with_case_sensitive_overriden_name,0.056
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_primitive_byte_array,0.052
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_partition_key_in_udt,0.046
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_on_map,0.068
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_on_set,0.09
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_Not_String,0.039
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_udt,0.15
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_instant,0.066
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_NoOpAnalyzer,0.034
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_nesting,0.065
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_json_codec_from_registry,0.059
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_SPARSE,0.039
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NotString,0.034
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_list_udt,0.062
Achilles,info.archinnov.achilles.internals.codegen.dsl.select.SelectDSLCodeGenTest,should_generate_select_dsl_class_for_udt_as_clustering,3.151
Achilles,info.archinnov.achilles.internals.codegen.meta.UDTMetaCodeGenTest,should_generate_udt_property_class,2.819
Achilles,info.archinnov.achilles.internals.codegen.meta.UDTMetaCodeGenTest,should_generate_udt_with_custom_constructor_property_class,0.339
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_clustering_and_static_column,2.565
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_clustering_column_info,0.673
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_clustering_column_type,0.329
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_udt_index_info,0.83
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_primitiveBoolean,0.327
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_map,0.264
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_counter_column_type,0.182
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_partition_key_order_zero,0.09
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_list_index_info,0.122
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_UpperCase,0.151
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_consistencyLevel,0.128
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_map_entry_index_info,0.133
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_partition_and_static_column,0.052
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_compilation_when_no_getter,0.066
