project,testClassName,testMethodName,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,Unnamed: 11
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_map_key_index_fromJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestEntityWithIndicesForJSON,should_query_using_index_and_clustering_column_fromJSON,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestFunctionCallsSimpleEntity,should_dsl_with_udf_call,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.it.TestJSONCall,should_insert_json,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_without_view_annotation,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_But_NotAnalyzed,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleValueKey,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_counter_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_clustering_column_order_zero,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_udt,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple7,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_static_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_SPARSE,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.naming.SnakeCaseNamingTest,should_return_snake_case,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_compilation_when_no_suitable_setter,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_abstract_class,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_complex_types_javac,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_udt_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_primitiveByteArray,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_list,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_objectByteArray,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_standardAnalyzer_Not_String,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_blank_name,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_annotation_tree_for_map_javac,1,0,1,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_validate_view_against_base_table,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_JavaType_for_parameterized_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_primitive_byte,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_not_indexed_map_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_static_without_clustering,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_column_not_in_base,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtKey,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_clustering_column_order,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_NoOpAnalyzer,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple9,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_first_present_value,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_validate_entity_with_EntityCreator_constructor,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_transformed_int,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_native_codec_for_computed,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_building_map_with_multiple_indices,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NotString,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_partition_key_in_udt,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_udt,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.naming.SnakeCaseNamingTest,should_return_blank_name,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_function_with_keyspace,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple1,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_primitive_byte_array,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_immutable_entity_javac,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_for_other_fields_javac,1,0,1,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_enumerated,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.naming.SnakeCaseNamingTest,should_return_blank_name_on_null,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_NotAnalyzed,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_map,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_indices,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_transformed_type,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.naming.LowerCaseNamingTest,should_return_blank_name_on_null,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_SPARSE_But_String,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_primitive_return_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_map,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_udt,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidUpperBound,1,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_view_meta,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtValueKey,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_normal_column_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tupleValue,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_map_tuple,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_optional_protocol_version_from_inline_codec,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_child_class_with_shadowed_field,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_ascii,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple5,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_map_value_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_list_tupleValue,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_clustering_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_computed_column_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_no_matching_field_name_for_constructor_param_javac,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.utils.TypeNameHelperTest,should_convert_type_name_to_string,1,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_partition_and_clustering_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_UpperCase,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_type,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_void_return_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_map_of_double_array,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_computed_field_with_codec,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_object_byte_array,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_jdk8_zoned_date_time,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_codec_annotation_javac,1,0,1,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_treemap_for_clustering_column_annotation_java,1,0,1,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple4,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_OpsCenter_keyspace_name,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_on_set,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_list_not_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.type.TypedMapTest,should_build_typed_map_from_source,1,0,1,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_without_base_entity,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_clustering_and_static_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_frozen_list_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidTypeNestedType,1,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_string_type,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_validating_index_depth_gt_2,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_NotAnalyzed,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_class_with_wrong_composite_partition_key_order,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_types,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_json,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_complex_counter_types,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_counter_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_codec_from_registry,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_objectBoolean,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_optional_string,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_non_frozen_udt,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_missing_base_pk,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_forbidden_keyspace_name,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tuple3,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_primitiveByte,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_more_than_1_non_pk,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_normal_column_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_list_nesting,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_static_and_computed_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple3,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_custom_constructor,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_declared_constructor_param_javac,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_codec_from_registry,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_timeuuid,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_map_for_level1_nesting_javac,1,0,1,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_json_type,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_JavaType_for_simple_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_udtValue,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_entity_annotation,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_simple_codec_from_registry,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_generate_meta_signature_for_view_javac,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_analyzed_but_not_string,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidType,1,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_static_column_in_udt,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_custom_constructor_with_declared_fields,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_incorrect_field_type_for_constructor_param_javac,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_fail_on_invalidWildCard,1,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_tupleValue,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_computed_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_function,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_nested_tuple,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_Not_String,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_generate_field_info_for_public_final_columns,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple_nesting,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_nested_int_array,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_2,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_partition_column_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_parse_functions_with_complex_types_javac,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_static_counter_column_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_primitive_boolean,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_creating_JavaType_for_wildcard_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_complex_nested_map,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_udtValue,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_fail_if_both_partition_and_computed_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_creating_native_codec_for_computed_if_target_type_not_matched,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_map_entry_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_list_udt,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_object_boolean,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_computed_column_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_validate_index_depth_1,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_fail_validating_an_abstract_class,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_static_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.index.IndexSelectDSLCodeGenTest,should_generate_indexed_select_dsl_class_with_udt,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_fail_for_non_frozen_map_listKey,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_counter_column_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_list_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_map_key_index_info,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.AnnotationTreeTest,should_build_trees_json_map_javac,1,0,1,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.EntityParserTest,should_fail_because_no_matching_field_name_for_declared_constructor_param_javac,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_static_column_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple10,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.UDTMetaCodeGenTest,should_generate_udt_with_custom_constructor_property_class,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_creating_codec_for_computed_if_target_type_not_matched,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.types.OverridingOptionalFinalTest,should_get_default_value,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_tuple1,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_lowercase_But_NoAnalyzer,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_object_byte,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_fail_validating_class_with_two_custom_constructors,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_parse_enumerated_set_type,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldParserTest,should_fail_parsing_SASI_stemming_But_SPARSE,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_create_codec_for_object_byte_array,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FieldInfoParserTest,should_build_partition_column_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.strategy.FrozenNestedTypeStrategyTest,should_not_fail_for_non_frozen_tuple_udt,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.BeanValidatorTest,should_validate_immutable_entity,1,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.cassandra3_0.BeanValidator3_0Test,should_fail_validating_view_because_missing_base_collection,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.FunctionParserTest,should_fail_parsing_function_with_unsupported_param_type,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.validator.TypeValidatorTest,should_validate_tupleValue,0,0,0,0,1,0,0,0,
Achilles,info.archinnov.achilles.internals.parser.CodecFactoryTest,should_fail_create_custom_codec_for_counter_if_target_type_not_matched,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_fail_building_view_meta_with_counter_column,0,0,0,0,0,0,0,0,
Achilles,info.archinnov.achilles.internals.codegen.meta.EntityMetaCodeGenTest,should_build_entity_with_simple_partition_key,0,0,0,0,0,0,0,0,
